veiculos_eletricos_id,idposto,avaliacao
1,1,4
1,2,4
1,3,3
1,4,3
1,5,4
1,6,4
1,7,5
1,8,5
2,9,4
2,8,3
2,7,2
2,10,1
3,11,2
3,1,1
3,2,3
3,4,4
4,10,5
4,11,5
4,12,4
4,14,3
4,13,4
5,9,3
5,10,3
5,12,2
5,2,1
6,1,1
6,2,1
6,3,2
6,4,3
6,5,4
7,20,4
7,21,4
7,22,5
8,23,5
8,24,5
8,21,4
8,22,4
8,19,3
9,18,3
9,17,3
10,16,2
10,15,2
10,14,3
11,13,3
11,12,4
11,11,4
11,10,4
12,7,5
12,6,5
13,5,5
13,4,5
13,3,4
14,4,3
14,5,3
14,6,4
15,7,4
15,6,5
15,4,5
15,3,4
16,2,4
16,1,4
16,6,3
16,7,4
16,9,4
17,12,4
17,11,4
17,14,3
17,15,3
18,16,3
18,17,1
18,18,2
18,12,2
19,15,1
19,21,1
19,22,1
20,23,2
20,21,3
20,17,4
20,24,5
21,22,5
21,21,5
21,24,5
21,23,4
22,15,5
22,14,4
22,13,3
22,17,2
22,18,2
23,16,2
23,15,3
23,14,4
23,12,4
23,3,5
24,4,5
24,5,5
24,6,5
24,7,2
24,8,2
25,9,2
25,5,1
25,4,1
25,3,1
25,2,2
26,1,3
26,3,3
26,4,4
27,5,5
27,6,5
27,7,5
27,8,5
27,9,4
27,12,5
28,7,5
28,6,5
28,5,5
28,4,5
28,3,3
28,2,2
29,12,2
29,13,1
29,14,1
30,15,1
30,16,2
30,17,3
31,17,5
31,18,5
31,14,5
31,1,5
31,2,4
32,3,4
32,4,4
32,5,4
32,6,4
33,7,5
33,8,5
33,9,5
34,6,5
34,5,4
34,13,4
35,12,4
35,14,3
35,15,3
36,16,3
36,17,1
36,12,2
36,11,2
37,14,2
37,15,2
37,16,3
38,17,3
38,18,3
38,20,4
39,21,4
39,23,4
39,21,4
39,23,3
40,24,3
40,20,3
40,21,3
